row.names,tree_order,tree_species_name,primary_defense_special_resemblance_masquerade,primary_defense_general_resemblance_crypsis,Region,World,Resemblance,res,wings_display,arms_display,wings_colours,arms_colours,abdomen_colours,wings_eyespots,arms_eyespots,display_includes_sound_abd_or_wings,mouth_display,display_complexity,Presence_display,bodylength_f_ave,bodylength_f_SD,bodylength_m_ave,bodylength_m_SD,pronlength_f_ave,pronlength_f_SD,pronlength_m_ave,pronlength_m_SD,forewinglength_f_ave,forewinglength_f_SD,forewinglength_m_ave,forewinglength_m_SD,forewinglength_pronotum_F,forewinglength_pronotum_M,bodylength_pronotum_F,bodylength_pronotum_M,forewinglength_bodylength_f,forewinglength_bodylength_m,DIMORPHISM_forewing_BD_ratio,DIMORPHISM_bodylength,DIMORPHISM_pronlength,DIMORPHISM_forewinglength,DIMORPHISM_forewinglength_pronotum,behav_author,Edmunds,behav_ref,behav_mantises_examined
Acanthops_falcata,84,Acanthops falcata,1,0,America,New,dead leaf,1,1,1,0,1,1,0,0,0,0,4,1,34.472,2.218,31.261,,10.7,0.646,9.381,,25.909,3.424,30.572,,2.421401869,3.25892762,3.221682243,3.332373947,0.751595498,0.977959758,0.768534177,3.211,1.319,-4.663,-0.83752575,Crane,0,Crane (1952),">1 female, >1 male"
Acontista_cordillerae,82,Acontista cordillerae,0,1,America,New,n,0,1,1,1,0,0,0,0,0,0,3,1,20.793,2.014,15.195,0.597,5.224,0.448,4.035,0.209,12.329,1.562,10.58,0.318,2.360068913,2.622057001,3.980283308,3.765799257,0.592939932,0.696281672,0.851580555,5.598,1.189,1.749,-0.261988089,Crane,0,Crane (1952),">1 female, >1 male"
Amorphoscelis_annulicornis,67,Amorphoscelis annulicornis,0,1,Asia,Old,n,0,0,0,0,0,0,0,0,0,0,0,0,20.46,0.579,17.501,0.599,2.089,0.067,1.717,0.022,16.507,0.254,15.295,0.521,7.901866922,8.907979033,9.794159885,10.1927781,0.806793744,0.87395006,0.923157719,2.959,0.372,1.212,-1.006112111,Edmunds,1,Edmunds (1976),2 females
Anasigerpes_bifasciata,35,Anasigerpes bifasciata,0,1,Africa,Old,n,0,0,0,0,0,0,0,0,0,0,0,0,22.525,1.257,18.573,0.933,6.449,0.227,5.273,0.198,18.714,0.661,15.327,0.937,2.901845247,2.906694481,3.49278958,3.52228333,0.830810211,0.825230173,1.006761796,3.952,1.176,3.387,-0.004849234,Edmunds,1,Edmunds (1972),1 male & 1 female
Angela_sp_MN353,86,Angela sp MN353,1,0,America,New,stick,1,0,0,0,0,0,0,0,0,0,0,0,105.741,,77.702,,43.266,,25.699,,12.358,,26.663,,0.285628438,1.037511187,2.443974483,3.023541772,0.116870467,0.343144321,0.340586919,28.039,17.567,-14.305,-0.751882749,Crane,0,Crane (1952),1 male
Archimantis_latistylus,13,Archimantis latistylus,0,1,Oceania,New,stick,1,1,1,0,0,0,0,0,0,1,3,1,113.187,1.118,94.528,7.907,43.848,0.577,33.192,1.988,21.577,7.564,51.344,2.181,0.492086298,1.546878766,2.581349206,2.84791516,0.190631433,0.543161814,0.350966191,18.659,10.656,-29.767,-1.054792468,Holwell,0,Holwell (pers comm),>20 males and >20 females
Chlidonoptera_vexillum,42,Chlidonoptera vexillum,0,1,Africa,Old,n,0,1,1,1,0,0,1,0,0,0,3,1,34.329,,29.939,1.984,8.296,,6.167,0.161,25.809,,28.839,1.091,3.111017358,4.676341819,4.138018322,4.854710556,0.751813336,0.963258626,0.780489596,4.39,2.129,-3.03,-1.565324462,Edmunds,1,Edmunds (1976),1 male and 1 female
Chloroharpax_modesta,43,Chloroharpax modesta,0,1,Africa,Old,flower,1,1,1,1,0,0,1,0,0,0,3,1,30.946,0.18,23.943,2.619,6.79,0.385,4.93,0.374,22.075,1.057,24.352,1.528,3.251104566,4.939553753,4.557584683,4.856592292,0.713339365,1.017082237,0.701358591,7.003,1.86,-2.277,-1.688449187,Edmunds,1,Edmunds (1976),1 female
Chrysomantis_cachani,31,Chrysomantis cachani,0,1,Africa,Old,n,0,0,0,0,0,0,0,0,0,0,0,0,28,,23.5,,6.8,,4.5,,18.5,,18.4,,2.720588235,4.088888889,4.117647059,5.222222222,0.660714286,0.782978723,0.84384705,4.5,2.3,0.1,-1.368300654,Edmunds,1,Edmunds (1976),1 female
Ciulfina_biseriata,81,Ciulfina biseriata,0,1,Oceania,New,n,0,0,0,0,0,0,0,0,0,0,0,0,35.546,1.438,30.134,1.979,9.84,0.309,8.946,0.373,15.906,0.819,14.389,0.563,1.616463415,1.608428348,3.612398374,3.368432819,0.447476509,0.477500498,0.937122602,5.412,0.894,1.517,0.008035067,Holwell,0,Holwell (pers comm),> 50 m & f
Danuria_thunbergi,24,Danuria thunbergi,1,0,Africa,Old,stick,1,1,0,1,0,0,0,0,0,0,2,1,66.261,2.907,57.251,1.027,19.191,0.897,13.502,0.318,15.385,0.656,33.87,1.487,0.80167787,2.508517257,3.452712209,4.240186639,0.232187863,0.591605387,0.39247084,9.01,5.689,-18.485,-1.706839387,Edmunds,1,Edmunds (1972),numerous males and 1 female
Deroplatys_desiccata,30,Deroplatys desiccata,1,0,Asia,Old,dead leaf,1,1,1,1,1,0,0,0,0,0,4,1,75.289,1.811,61.045,3.087,31.342,1.383,21.824,0.569,41.231,1.46,53.539,3.458,1.315519112,2.453216642,2.402175994,2.797149927,0.547636441,0.877041527,0.624413354,14.244,9.518,-12.308,-1.13769753,Varley,0,Varley (1939),not mentioned
Empusa_guttula,49,Empusa guttula,1,0,Africa,Old,branch,1,1,0,0,0,0,0,0,1,0,2,1,62.759,3.438,55.541,2.368,28.088,1.663,25.075,1.169,37.783,1.36,30.33,1.397,1.345165195,1.209571286,2.23437055,2.214995015,0.602033175,0.546083074,1.102457124,7.218,3.013,7.453,0.135593909,Krauss,0,Krauss & Vosseler (1897) in Varley (1939),not mentioned
Eremiaphila_rotundipennis,64,Eremiaphila rotundipennis,0,1,Asia,Old,n,0,1,1,1,0,0,1,0,0,0,3,1,29,,25,,4.6,,4.4,,13,,9.9,,2.826086957,2.25,6.304347826,5.681818182,0.448275862,0.396,1.132009753,4,0.2,3.1,0.576086957,Roonwal,0,Roonwal (1938),1 female
Gyromantis_sp_MN053,75,Gyromantis occidentalis,0,1,Oceania,New,n,0,0,0,0,0,0,0,0,0,0,0,0,27.351,1.5,23.256,1.323,6.605,0.155,4.854,0.293,8.88,1.459,19.816,1.591,1.344436033,4.082406263,4.140953823,4.791100124,0.324668202,0.852081183,0.381029658,4.095,1.751,-10.936,-2.73797023,Holwell,0,Holwell (pers comm),>20 males and >20 females
Hestiasula_inermis,36,Hestiasula inermis,1,0,Asia,Old,leaf,1,1,1,0,1,0,0,0,1,0,4,1,27.466,,24.808,1.383,5.916,,4.481,0.106,18.128,,24.869,0.813,3.06423259,5.54987726,4.642663962,5.536264227,0.66001602,1.002458884,0.658397098,2.658,1.435,-6.741,-2.48564467,Shelford,0,Shelford (1903) in Varley (1939),not mentioned
Hierodula_schultzei,17,Hierodula schultzei,0,1,Oceania,New,n,0,0,1,0,1,0,0,0,0,0,2,1,70,,60,,26,,19,,,,,,,,2.692307692,3.157894737,,,,10,7,,,Holwell,0,Holwell (pers comm),>20 males and >20 females
Hoplocorypha_sp_MN035,53,Hoplocorypha sp MN035,1,0,Africa,Old,stick,1,0,0,0,0,0,0,0,0,0,0,0,46.414,,35.933,1.037,14.87,,10.763,0.404,,,17.787,0.11,,1.652606151,3.12131809,3.338567314,,0.495004592,,10.481,4.107,,-1.652606151,Edmunds,1,Edmunds (1972) & Edmunds (1976),">5 males, 2 females"
Hymenopus_coronatus,45,Hymenopus coronatus,1,0,Asia,Old,flower,1,0,0,0,0,0,0,0,0,0,0,0,52.7,3.169,27.708,0.957,13.278,1.385,5.934,0.124,53.412,5.841,23.581,1.154,4.022593764,3.973879339,3.968971231,4.669362993,1.013510436,0.851053847,1.190888731,24.992,7.344,29.831,0.048714425,O'Hanlon,0,O'Hanlon (pers obs),> 10 m & f
Idolomantis_diabolica,52,Idolomantis diabolica,1,0,Africa,Old,flower,1,0,1,0,1,0,0,1,1,0,3,1,92.349,,74.374,3.637,33.449,,26.714,0.315,63.575,,61.101,3.702,1.900654728,2.287227671,2.760889713,2.784083252,0.688421098,0.821537096,0.837967149,17.975,6.735,2.474,-0.386572943,Sharpe,0,Sharpe (1897) & Carpenter (1921) in Varley (1939),>5 males and >5 females
Idolomorpha_dentifrons,51,Idolomorpha dentifrons,0,1,Africa,Old,stick,1,1,1,0,1,0,0,0,0,0,3,1,71.768,6.036,63.724,2.388,34.888,3.391,28.467,1.174,41.868,2.158,39.637,1.607,1.200068792,1.392384164,2.057096996,2.238521797,0.583379779,0.622010545,0.937893711,8.044,6.421,2.231,-0.192315373,Edmunds,1,Edmunds (1972),numerous males and females
Leptocola_stanleyana,25,Leptocola stanleyana,0,1,Africa,Old,n,0,0,0,0,0,0,0,0,0,0,0,0,126.697,,117.647,3.664,51.834,,46.547,1.897,10.802,,49.682,4.707,0.208396033,1.067351279,2.444283675,2.527488345,0.08525853,0.422297211,0.20189224,9.05,5.287,-38.88,-0.858955246,Edmunds,1,Edmunds (1972) & Edmunds (1976),numerous males & 1 female
Liturgusa_maya,85,Liturgusa maya,0,1,America,New,n,0,0,0,0,0,0,0,0,0,0,0,0,26.68,2.196,22.566,1.14,7.475,0.337,6.277,0.254,16.817,0.336,14.843,0.454,2.249765886,2.364664649,3.569230769,3.595029473,0.630322339,0.657759461,0.958286997,4.114,1.198,1.974,-0.114898762,Crane,0,Crane (1952),>20 females
Mantis_religiosa,20,Mantis religiosa,0,1,Europe,Old,n,0,1,1,0,1,0,0,1,1,0,4,1,53.655,1.705,46.3,2.085,16.372,0.388,12.745,0.582,38.937,1.352,34.344,1.999,2.378267774,2.694703805,3.277241632,3.632797175,0.725691921,0.741771058,0.978323315,7.355,3.627,4.593,-0.316436031,Edmunds,1,Edmunds (1972),numerous males and females
Mantoida_schraderi,93,Mantoida schraderi,0,1,America,New,n,0,0,0,0,0,0,0,0,0,0,0,0,17.5,,14.3,,2.7,,2,,16.1,,15.6,,5.962962963,7.8,6.481481481,7.15,0.92,1.090909091,0.843333333,3.2,0.7,0.5,-1.837037037,Crane,0,Crane (1952),1 male
Miomantis_aurea,59,Miomantis aurea,0,1,Africa,Old,n,0,1,1,0,0,0,0,0,0,0,2,1,29.559,1.498,33.019,1.274,10.036,0.529,8.716,0.698,7.896,0.542,30.223,1.608,0.786767637,3.467530978,2.945296931,3.78832033,0.267126763,0.915321482,0.291839281,-3.46,1.32,-22.327,-2.680763341,Edmunds,1,Edmunds (1972) & Edmunds (1976),2 females
Musonia_sp_MN721,89,Musonia sp MN721,1,0,America,New,n,0,0,0,0,0,0,0,0,0,0,0,0,30.123,1.624,27.983,3.974,8.446,0.475,6.262,1.071,,,16.579,1.939,,2.647556691,3.566540374,4.468700096,,0.592466855,,2.14,2.184,,-2.647556691,Crane,0,Crane (1952),"1 male, >1 female"
